idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注,,,,,,,,
0,AES-T100,top.Trojan.lfsr.d0,17,19,0.5073,,,
1,AES-T100,top.Trojan.lfsr.lfsr_stream,12,11,0.1313,,,
2,AES-T100,top.Trojan.load,452,577,0.3339,,,
3,AES-T1000,top.Trigger.Tj_Trig,12,11,0.2414,,,
4,AES-T1000,top.Trojan.lfsr.d0,17,19,0.425,,,
5,AES-T1000,top.Trojan.lfsr.lfsr_stream,19,19,0.2666,,,
6,AES-T1000,top.Trojan.load,452,577,0.3469,,,
7,AES-T1100,top.Trigger.State0,12,11,0.2688,,,
8,AES-T1100,top.Trigger.State1,19,20,0.1772,,,
9,AES-T1100,top.Trigger.State2,26,29,0.2011,,,
10,AES-T1100,top.Trigger.State3,33,38,0.2336,,,
11,AES-T1100,top.Trigger.Tj_Trig,8,7,0.2537,,,
12,AES-T1100,top.Trojan.lfsr.d0,17,19,0.5409,,,
13,AES-T1100,top.Trojan.lfsr.lfsr_stream,17,17,0.198,,,
14,AES-T1100,top.Trojan.load,452,577,0.3683,,,
15,AES-T1200,top.Trigger.Counter,9,8,0.2692,,,
16,AES-T1200,top.Trigger.Tj_Trig,12,11,0.2739,,,
17,AES-T1200,top.Trojan.lfsr.d0,17,19,0.6997,,,
18,AES-T1200,top.Trojan.lfsr.lfsr_stream,17,17,0.2763,,,
19,AES-T1200,top.Trojan.load,452,577,0.3078,,,
20,AES-T1300,top.Trigger.Tj_Trig,12,11,0.2164,,,
21,AES-T1300,top.Trojan.enable1,68,81,0.5448,,,
22,AES-T1300,top.Trojan.enable2,68,81,0.5436,,,
23,AES-T1300,top.Trojan.enable3,68,81,0.5475,,,
24,AES-T1300,top.Trojan.enable4,68,81,0.5628,,,
25,AES-T1300,top.Trojan.enable5,68,81,0.5659,,,
26,AES-T1300,top.Trojan.enable6,68,81,0.5449,,,
27,AES-T1300,top.Trojan.enable7,68,81,0.5462,,,
28,AES-T1300,top.Trojan.enable8,68,81,0.5467,,,
29,AES-T1300,top.Trojan.SHReg1,18,19,0.2407,,,
30,AES-T1300,top.Trojan.SHReg2,18,19,0.2529,,,
31,AES-T1300,top.Trojan.SHReg3,18,19,0.2149,,,
32,AES-T1300,top.Trojan.SHReg4,18,19,0.1887,,,
33,AES-T1300,top.Trojan.SHReg5,18,19,0.2171,,,
34,AES-T1300,top.Trojan.SHReg6,18,19,0.214,,,
35,AES-T1300,top.Trojan.SHReg7,18,19,0.1674,,,
36,AES-T1300,top.Trojan.SHReg8,18,19,0.2097,,,
37,AES-T1400,top.Trigger.State0,12,11,0.4179,,,
38,AES-T1400,top.Trigger.State1,19,20,0.3784,,,
39,AES-T1400,top.Trigger.State2,26,29,0.3972,,,
40,AES-T1400,top.Trigger.State3,33,38,0.4004,,,
41,AES-T1400,top.Trigger.Tj_Trig,8,7,0.2263,,,
42,AES-T1400,top.Trojan.enable1,68,81,0.6301,,,
43,AES-T1400,top.Trojan.enable2,68,81,0.6274,,,
44,AES-T1400,top.Trojan.enable3,68,81,0.6161,,,
45,AES-T1400,top.Trojan.enable4,68,81,0.6191,,,
46,AES-T1400,top.Trojan.enable5,68,81,0.6228,,,
47,AES-T1400,top.Trojan.enable6,68,81,0.631,,,
48,AES-T1400,top.Trojan.enable7,68,81,0.616,,,
49,AES-T1400,top.Trojan.enable8,68,81,0.6161,,,
50,AES-T1400,top.Trojan.SHReg1,18,19,0.3502,,,
51,AES-T1400,top.Trojan.SHReg2,18,19,0.3436,,,
