idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"AES-T100","top.Trojan.lfsr.d0",17,19,0.5073,,"","待标注"
1,"AES-T100","top.Trojan.lfsr.lfsr_stream",12,11,0.1313,,"","待标注"
2,"AES-T100","top.Trojan.load",452,577,0.3339,,"","待标注"
3,"AES-T1000","top.Trigger.Tj_Trig",12,11,0.2414,,"","待标注"
4,"AES-T1000","top.Trojan.lfsr.d0",17,19,0.4250,,"","待标注"
5,"AES-T1000","top.Trojan.lfsr.lfsr_stream",19,19,0.2666,,"","待标注"
6,"AES-T1000","top.Trojan.load",452,577,0.3469,,"","待标注"
7,"AES-T1100","top.Trigger.State0",12,11,0.2688,,"","待标注"
8,"AES-T1100","top.Trigger.State1",19,20,0.1772,,"","待标注"
9,"AES-T1100","top.Trigger.State2",26,29,0.2011,,"","待标注"
10,"AES-T1100","top.Trigger.State3",33,38,0.2336,,"","待标注"
11,"AES-T1100","top.Trigger.Tj_Trig",8,7,0.2537,,"","待标注"
12,"AES-T1100","top.Trojan.lfsr.d0",17,19,0.5409,,"","待标注"
13,"AES-T1100","top.Trojan.lfsr.lfsr_stream",17,17,0.1980,,"","待标注"
14,"AES-T1100","top.Trojan.load",452,577,0.3683,,"","待标注"
15,"AES-T1200","top.Trigger.Counter",9,8,0.2692,,"","待标注"
16,"AES-T1200","top.Trigger.Tj_Trig",12,11,0.2739,,"","待标注"
17,"AES-T1200","top.Trojan.lfsr.d0",17,19,0.6997,,"","待标注"
18,"AES-T1200","top.Trojan.lfsr.lfsr_stream",17,17,0.2763,,"","待标注"
19,"AES-T1200","top.Trojan.load",452,577,0.3078,,"","待标注"
20,"AES-T1300","top.Trigger.Tj_Trig",12,11,0.2164,,"","待标注"
21,"AES-T1300","top.Trojan.enable1",68,81,0.5448,,"","待标注"
22,"AES-T1300","top.Trojan.enable2",68,81,0.5436,,"","待标注"
23,"AES-T1300","top.Trojan.enable3",68,81,0.5475,,"","待标注"
24,"AES-T1300","top.Trojan.enable4",68,81,0.5628,,"","待标注"
25,"AES-T1300","top.Trojan.enable5",68,81,0.5659,,"","待标注"
26,"AES-T1300","top.Trojan.enable6",68,81,0.5449,,"","待标注"
27,"AES-T1300","top.Trojan.enable7",68,81,0.5462,,"","待标注"
28,"AES-T1300","top.Trojan.enable8",68,81,0.5467,,"","待标注"
29,"AES-T1300","top.Trojan.SHReg1",18,19,0.2407,,"","待标注"
30,"AES-T1300","top.Trojan.SHReg2",18,19,0.2529,,"","待标注"
31,"AES-T1300","top.Trojan.SHReg3",18,19,0.2149,,"","待标注"
32,"AES-T1300","top.Trojan.SHReg4",18,19,0.1887,,"","待标注"
33,"AES-T1300","top.Trojan.SHReg5",18,19,0.2171,,"","待标注"
34,"AES-T1300","top.Trojan.SHReg6",18,19,0.2140,,"","待标注"
35,"AES-T1300","top.Trojan.SHReg7",18,19,0.1674,,"","待标注"
36,"AES-T1300","top.Trojan.SHReg8",18,19,0.2097,,"","待标注"
37,"AES-T1400","top.Trigger.State0",12,11,0.4179,,"","待标注"
38,"AES-T1400","top.Trigger.State1",19,20,0.3784,,"","待标注"
39,"AES-T1400","top.Trigger.State2",26,29,0.3972,,"","待标注"
40,"AES-T1400","top.Trigger.State3",33,38,0.4004,,"","待标注"
41,"AES-T1400","top.Trigger.Tj_Trig",8,7,0.2263,,"","待标注"
42,"AES-T1400","top.Trojan.enable1",68,81,0.6301,,"","待标注"
43,"AES-T1400","top.Trojan.enable2",68,81,0.6274,,"","待标注"
44,"AES-T1400","top.Trojan.enable3",68,81,0.6161,,"","待标注"
45,"AES-T1400","top.Trojan.enable4",68,81,0.6191,,"","待标注"
46,"AES-T1400","top.Trojan.enable5",68,81,0.6228,,"","待标注"
47,"AES-T1400","top.Trojan.enable6",68,81,0.6310,,"","待标注"
