idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"PIC16F84-T100","top.add_node",13,12,0.0000,,"","待标注"
1,"PIC16F84-T100","top.addlow_node",19,18,0.0000,,"","待标注"
2,"PIC16F84-T100","top.addr_eecon1",7,6,0.0000,,"","待标注"
3,"PIC16F84-T100","top.addr_eecon2",7,6,0.0000,,"","待标注"
4,"PIC16F84-T100","top.addr_eep_adr",7,6,0.0000,,"","待标注"
5,"PIC16F84-T100","top.addr_eep_dat",7,6,0.0000,,"","待标注"
6,"PIC16F84-T100","top.addr_fsr",7,6,0.0000,,"","待标注"
7,"PIC16F84-T100","top.addr_intcon",7,6,0.0000,,"","待标注"
8,"PIC16F84-T100","top.addr_option",7,6,0.0000,,"","待标注"
9,"PIC16F84-T100","top.addr_pcl",7,6,0.0000,,"","待标注"
10,"PIC16F84-T100","top.addr_pclath",7,6,0.0000,,"","待标注"
11,"PIC16F84-T100","top.addr_porta",7,6,0.0000,,"","待标注"
12,"PIC16F84-T100","top.addr_portb",7,6,0.0000,,"","待标注"
13,"PIC16F84-T100","top.addr_sram",7,6,0.0000,,"","待标注"
14,"PIC16F84-T100","top.addr_stat",7,6,0.0000,,"","待标注"
15,"PIC16F84-T100","top.addr_tmr0",7,6,0.0000,,"","待标注"
16,"PIC16F84-T100","top.addr_trisa",7,6,0.0000,,"","待标注"
17,"PIC16F84-T100","top.addr_trisb",7,6,0.0000,,"","待标注"
18,"PIC16F84-T100","top.aluinp1_reg",78,82,0.0000,,"","待标注"
19,"PIC16F84-T100","top.aluinp2_reg",45,51,0.0000,,"","待标注"
20,"PIC16F84-T100","top.aluout_reg",96,113,0.0000,,"","待标注"
21,"PIC16F84-T100","top.aluout_zero_node",7,6,0.0000,,"","待标注"
22,"PIC16F84-T100","top.clk_o_reg",20,26,0.0000,,"","待标注"
23,"PIC16F84-T100","top.Counter",89,109,0.0000,,"","待标注"
24,"PIC16F84-T100","top.dtemp",19,18,0.0000,,"","待标注"
25,"PIC16F84-T100","top.eecon1_reg",164,240,0.0000,,"","待标注"
26,"PIC16F84-T100","top.eep_adr_reg",29,39,0.0000,,"","待标注"
27,"PIC16F84-T100","top.eep_dat_reg",39,51,0.0000,,"","待标注"
28,"PIC16F84-T100","top.exec_op_reg",58,67,0.0000,,"","待标注"
29,"PIC16F84-T100","top.fsr_reg",29,39,0.0000,,"","待标注"
30,"PIC16F84-T100","top.inc_pc_node",4,3,0.0000,,"","待标注"
31,"PIC16F84-T100","top.inc_tmr_clk",8,7,0.0000,,"","待标注"
32,"PIC16F84-T100","top.inc_tmr_hold_reg",36,48,0.0000,,"","待标注"
33,"PIC16F84-T100","top.inc_tmr_sync_reg",7,6,0.0000,,"","待标注"
34,"PIC16F84-T100","top.inst_addlw",7,6,0.0000,,"","待标注"
35,"PIC16F84-T100","top.inst_addwf",7,6,0.0000,,"","待标注"
36,"PIC16F84-T100","top.inst_andlw",7,6,0.0000,,"","待标注"
37,"PIC16F84-T100","top.inst_andwf",7,6,0.0000,,"","待标注"
38,"PIC16F84-T100","top.inst_bcf",7,6,0.0000,,"","待标注"
39,"PIC16F84-T100","top.inst_bsf",7,6,0.0000,,"","待标注"
40,"PIC16F84-T100","top.inst_btfsc",7,6,0.0000,,"","待标注"
41,"PIC16F84-T100","top.inst_btfss",7,6,0.0000,,"","待标注"
42,"PIC16F84-T100","top.inst_call",7,6,0.0000,,"","待标注"
43,"PIC16F84-T100","top.inst_clrf",7,6,0.0000,,"","待标注"
44,"PIC16F84-T100","top.inst_clrw",7,6,0.0000,,"","待标注"
45,"PIC16F84-T100","top.inst_clrwdt",4,3,0.0000,,"","待标注"
46,"PIC16F84-T100","top.inst_comf",7,6,0.0000,,"","待标注"
47,"PIC16F84-T100","top.inst_decf",7,6,0.0000,,"","待标注"
48,"PIC16F84-T100","top.inst_decfsz",7,6,0.0000,,"","待标注"
49,"PIC16F84-T100","top.inst_goto",7,6,0.0000,,"","待标注"
50,"PIC16F84-T100","top.inst_incf",7,6,0.0000,,"","待标注"
51,"PIC16F84-T100","top.inst_incfsz",7,6,0.0000,,"","待标注"
52,"PIC16F84-T100","top.inst_iorlw",7,6,0.0000,,"","待标注"
53,"PIC16F84-T100","top.inst_iorwf",7,6,0.0000,,"","待标注"
54,"PIC16F84-T100","top.inst_movf",7,6,0.0000,,"","待标注"
55,"PIC16F84-T100","top.inst_movlw",7,6,0.0000,,"","待标注"
56,"PIC16F84-T100","top.inst_movwf",7,6,0.0000,,"","待标注"
57,"PIC16F84-T100","top.inst_reg",19,26,0.0000,,"","待标注"
58,"PIC16F84-T100","top.inst_ret",4,3,0.0000,,"","待标注"
59,"PIC16F84-T100","top.inst_retfie",4,3,0.0000,,"","待标注"
60,"PIC16F84-T100","top.inst_retlw",7,6,0.0000,,"","待标注"
61,"PIC16F84-T100","top.inst_rlf",7,6,0.0000,,"","待标注"
62,"PIC16F84-T100","top.inst_rrf",7,6,0.0000,,"","待标注"
63,"PIC16F84-T100","top.inst_sleep",4,3,0.0000,,"","待标注"
64,"PIC16F84-T100","top.inst_sublw",7,6,0.0000,,"","待标注"
65,"PIC16F84-T100","top.inst_subwf",7,6,0.0000,,"","待标注"
66,"PIC16F84-T100","top.inst_swapf",7,6,0.0000,,"","待标注"
67,"PIC16F84-T100","top.inst_xorlw",7,6,0.0000,,"","待标注"
68,"PIC16F84-T100","top.inst_xorwf",7,6,0.0000,,"","待标注"
69,"PIC16F84-T100","top.int_node",38,44,0.0000,,"","待标注"
70,"PIC16F84-T100","top.intclr0",5,4,0.0000,,"","待标注"
71,"PIC16F84-T100","top.intclr1",5,4,0.0000,,"","待标注"
72,"PIC16F84-T100","top.intclr2",5,4,0.0000,,"","待标注"
73,"PIC16F84-T100","top.intclr3",5,4,0.0000,,"","待标注"
74,"PIC16F84-T100","top.intclr4",5,4,0.0000,,"","待标注"
75,"PIC16F84-T100","top.intclr_reg",46,56,0.0000,,"","待标注"
76,"PIC16F84-T100","top.intcon_reg",179,252,0.0000,,"","待标注"
77,"PIC16F84-T100","top.intdown_reg",77,135,0.0000,,"","待标注"
78,"PIC16F84-T100","top.inte",7,6,0.0000,,"","待标注"
79,"PIC16F84-T100","top.intrise_reg",69,116,0.0000,,"","待标注"
80,"PIC16F84-T100","top.intstart_reg",31,40,0.0000,,"","待标注"
81,"PIC16F84-T100","top.mask_node",7,6,0.0000,,"","待标注"
82,"PIC16F84-T100","top.option_reg",30,39,0.0000,,"","待标注"
83,"PIC16F84-T100","top.pc_reg",71,83,0.0000,,"","待标注"
84,"PIC16F84-T100","top.pclath_reg",33,42,0.0000,,"","待标注"
85,"PIC16F84-T100","top.porta_i_sync_reg",10,11,0.0000,,"","待标注"
86,"PIC16F84-T100","top.porta_o_reg",32,42,0.0000,,"","待标注"
87,"PIC16F84-T100","top.portb_i_sync_reg",10,11,0.0000,,"","待标注"
88,"PIC16F84-T100","top.portb_o_reg",29,39,0.0000,,"","待标注"
89,"PIC16F84-T100","top.prog_adr_o",8,8,0.0000,,"","待标注"
90,"PIC16F84-T100","top.ps_clk",12,12,0.0000,,"","待标注"
91,"PIC16F84-T100","top.ps_full_reg",11,10,0.0000,,"","待标注"
