idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"AES-T100","top.Trojan.lfsr.d0",17,19,0.5664,,"","待标注"
1,"AES-T100","top.Trojan.lfsr.lfsr_stream",12,11,0.2445,,"","待标注"
2,"AES-T100","top.Trojan.load",452,577,0.2692,,"","待标注"
3,"AES-T1000","top.Trigger.Tj_Trig",12,11,0.2032,,"","待标注"
4,"AES-T1000","top.Trojan.lfsr.d0",17,19,0.3969,,"","待标注"
5,"AES-T1000","top.Trojan.lfsr.lfsr_stream",19,19,0.2637,,"","待标注"
6,"AES-T1000","top.Trojan.load",452,577,0.2918,,"","待标注"
7,"AES-T1100","top.Trigger.State0",12,11,0.2600,,"","待标注"
8,"AES-T1100","top.Trigger.State1",19,20,0.2194,,"","待标注"
9,"AES-T1100","top.Trigger.State2",26,29,0.2178,,"","待标注"
10,"AES-T1100","top.Trigger.State3",33,38,0.2475,,"","待标注"
11,"AES-T1100","top.Trigger.Tj_Trig",8,7,0.1944,,"","待标注"
12,"AES-T1100","top.Trojan.lfsr.d0",17,19,0.5571,,"","待标注"
13,"AES-T1100","top.Trojan.lfsr.lfsr_stream",17,17,0.2588,,"","待标注"
14,"AES-T1100","top.Trojan.load",452,577,0.2724,,"","待标注"
15,"AES-T1200","top.Trigger.Counter",9,8,0.2624,,"","待标注"
16,"AES-T1200","top.Trigger.Tj_Trig",12,11,0.2079,,"","待标注"
17,"AES-T1200","top.Trojan.lfsr.d0",17,19,0.5823,,"","待标注"
18,"AES-T1200","top.Trojan.lfsr.lfsr_stream",17,17,0.2686,,"","待标注"
19,"AES-T1200","top.Trojan.load",452,577,0.3260,,"","待标注"
20,"AES-T1300","top.Trigger.Tj_Trig",12,11,0.2608,,"","待标注"
21,"AES-T1300","top.Trojan.enable1",68,81,0.6956,,"","待标注"
22,"AES-T1300","top.Trojan.enable2",68,81,0.6966,,"","待标注"
23,"AES-T1300","top.Trojan.enable3",68,81,0.6992,,"","待标注"
24,"AES-T1300","top.Trojan.enable4",68,81,0.6890,,"","待标注"
25,"AES-T1300","top.Trojan.enable5",68,81,0.7164,,"","待标注"
26,"AES-T1300","top.Trojan.enable6",68,81,0.7022,,"","待标注"
27,"AES-T1300","top.Trojan.enable7",68,81,0.7121,,"","待标注"
28,"AES-T1300","top.Trojan.enable8",68,81,0.7064,,"","待标注"
29,"AES-T1300","top.Trojan.SHReg1",18,19,0.2800,,"","待标注"
30,"AES-T1300","top.Trojan.SHReg2",18,19,0.2510,,"","待标注"
31,"AES-T1300","top.Trojan.SHReg3",18,19,0.3205,,"","待标注"
32,"AES-T1300","top.Trojan.SHReg4",18,19,0.2781,,"","待标注"
33,"AES-T1300","top.Trojan.SHReg5",18,19,0.2391,,"","待标注"
34,"AES-T1300","top.Trojan.SHReg6",18,19,0.3001,,"","待标注"
35,"AES-T1300","top.Trojan.SHReg7",18,19,0.2395,,"","待标注"
36,"AES-T1300","top.Trojan.SHReg8",18,19,0.2783,,"","待标注"
37,"AES-T1400","top.Trigger.State0",12,11,0.2908,,"","待标注"
38,"AES-T1400","top.Trigger.State1",19,20,0.2399,,"","待标注"
39,"AES-T1400","top.Trigger.State2",26,29,0.2820,,"","待标注"
40,"AES-T1400","top.Trigger.State3",33,38,0.3106,,"","待标注"
41,"AES-T1400","top.Trigger.Tj_Trig",8,7,0.2506,,"","待标注"
42,"AES-T1400","top.Trojan.enable1",68,81,0.6275,,"","待标注"
43,"AES-T1400","top.Trojan.enable2",68,81,0.6445,,"","待标注"
44,"AES-T1400","top.Trojan.enable3",68,81,0.6247,,"","待标注"
45,"AES-T1400","top.Trojan.enable4",68,81,0.6354,,"","待标注"
46,"AES-T1400","top.Trojan.enable5",68,81,0.6368,,"","待标注"
47,"AES-T1400","top.Trojan.enable6",68,81,0.6363,,"","待标注"
48,"AES-T1400","top.Trojan.enable7",68,81,0.6290,,"","待标注"
49,"AES-T1400","top.Trojan.enable8",68,81,0.6039,,"","待标注"
50,"AES-T1400","top.Trojan.SHReg1",18,19,0.2550,,"","待标注"
51,"AES-T1400","top.Trojan.SHReg2",18,19,0.3070,,"","待标注"
52,"AES-T1400","top.Trojan.SHReg3",18,19,0.2926,,"","待标注"
53,"AES-T1400","top.Trojan.SHReg4",18,19,0.3716,,"","待标注"
54,"AES-T1400","top.Trojan.SHReg5",18,19,0.3426,,"","待标注"
55,"AES-T1400","top.Trojan.SHReg6",18,19,0.3110,,"","待标注"
56,"AES-T1400","top.Trojan.SHReg7",18,19,0.3805,,"","待标注"
57,"AES-T1400","top.Trojan.SHReg8",18,19,0.3083,,"","待标注"
58,"AES-T1500","top.Trigger.Counter",9,8,0.3614,,"","待标注"
59,"AES-T1500","top.Trigger.Tj_Trig",12,11,0.3482,,"","待标注"
60,"AES-T1500","top.Trojan.enable1",68,81,0.6542,,"","待标注"
61,"AES-T1500","top.Trojan.enable2",68,81,0.6735,,"","待标注"
62,"AES-T1500","top.Trojan.enable3",68,81,0.6596,,"","待标注"
63,"AES-T1500","top.Trojan.enable4",68,81,0.6583,,"","待标注"
64,"AES-T1500","top.Trojan.enable5",68,81,0.6499,,"","待标注"
65,"AES-T1500","top.Trojan.enable6",68,81,0.6549,,"","待标注"
66,"AES-T1500","top.Trojan.enable7",68,81,0.6480,,"","待标注"
67,"AES-T1500","top.Trojan.enable8",68,81,0.6460,,"","待标注"
68,"AES-T1500","top.Trojan.SHReg1",18,19,0.2210,,"","待标注"
69,"AES-T1500","top.Trojan.SHReg2",18,19,0.2575,,"","待标注"
70,"AES-T1500","top.Trojan.SHReg3",18,19,0.2981,,"","待标注"
71,"AES-T1500","top.Trojan.SHReg4",18,19,0.2257,,"","待标注"
72,"AES-T1500","top.Trojan.SHReg5",18,19,0.2091,,"","待标注"
73,"AES-T1500","top.Trojan.SHReg6",18,19,0.2179,,"","待标注"
74,"AES-T1500","top.Trojan.SHReg7",18,19,0.2250,,"","待标注"
75,"AES-T1500","top.Trojan.SHReg8",18,19,0.2378,,"","待标注"
76,"AES-T1600","top.Tj_Trigger.Detected",8,7,0.1895,,"","待标注"
77,"AES-T1600","top.Tj_Trigger.State0",12,11,0.2891,,"","待标注"
78,"AES-T1600","top.Tj_Trigger.State1",19,20,0.1892,,"","待标注"
79,"AES-T1600","top.Tj_Trigger.State2",26,29,0.2447,,"","待标注"
80,"AES-T1600","top.Tj_Trigger.State3",33,38,0.2304,,"","待标注"
81,"AES-T1600","top.Tj_Trigger.tempClk1",15,15,0.2045,,"","待标注"
82,"AES-T1600","top.Tj_Trigger.tempClk2",23,24,0.3101,,"","待标注"
83,"AES-T1600","top.Tj_Trigger.Tj_Trig",4,3,0.1860,,"","待标注"
84,"AES-T1600","top.TSC.Antena",6,5,0.3179,,"","待标注"
85,"AES-T1600","top.TSC.Baud8GeneratorACC",13,12,0.2998,,"","待标注"
86,"AES-T1600","top.TSC.beep1",14,15,0.2945,,"","待标注"
87,"AES-T1600","top.TSC.beep2",20,21,0.2274,,"","待标注"
88,"AES-T1600","top.TSC.beeps",4,3,0.3372,,"","待标注"
89,"AES-T1600","top.TSC.MUX_Sel",11,11,0.2466,,"","待标注"
90,"AES-T1600","top.TSC.SHIFTReg",9,8,0.3496,,"","待标注"
91,"AES-T1700","top.Tj_Trigger.Counter",9,8,0.2182,,"","待标注"
92,"AES-T1700","top.Tj_Trigger.Tj_Trig",12,11,0.2112,,"","待标注"
93,"AES-T1700","top.TSC.Antena",6,5,0.1859,,"","待标注"
94,"AES-T1700","top.TSC.Baud8GeneratorACC",13,12,0.2004,,"","待标注"
95,"AES-T1700","top.TSC.beep1",14,15,0.1804,,"","待标注"
96,"AES-T1700","top.TSC.beep2",20,21,0.2186,,"","待标注"
97,"AES-T1700","top.TSC.beeps",4,3,0.1846,,"","待标注"
98,"AES-T1700","top.TSC.MUX_Sel",11,11,0.3154,,"","待标注"
99,"AES-T1700","top.TSC.SHIFTReg",9,8,0.2140,,"","待标注"
100,"AES-T1800","top.Trojan.DynamicPower",18,19,0.2223,,"","待标注"
101,"AES-T1800","top.Trojan.Tj_Trig",12,11,0.2025,,"","待标注"
102,"AES-T1900","top.Trojan.Counter",9,8,0.3116,,"","待标注"
103,"AES-T1900","top.Trojan.DynamicPower",18,19,0.2706,,"","待标注"
104,"AES-T1900","top.Trojan.Tj_Trig",12,11,0.2652,,"","待标注"
105,"AES-T200","top.Trojan.lfsr.d0",17,19,0.4024,,"","待标注"
106,"AES-T200","top.Trojan.lfsr.lfsr_stream",15,14,0.2121,,"","待标注"
107,"AES-T200","top.Trojan.load",452,577,0.3572,,"","待标注"
108,"AES-T2000","top.Trigger.State0",12,11,0.3561,,"","待标注"
109,"AES-T2000","top.Trigger.State1",19,20,0.4221,,"","待标注"
110,"AES-T2000","top.Trigger.State2",26,29,0.3781,,"","待标注"
111,"AES-T2000","top.Trigger.State3",33,38,0.3515,,"","待标注"
112,"AES-T2000","top.Trigger.Tj_Trig",8,7,0.2131,,"","待标注"
113,"AES-T2000","top.Trojan.COUNTER",9,8,0.3818,,"","待标注"
114,"AES-T2000","top.Trojan.INV10_out",3,2,0.2724,,"","待标注"
115,"AES-T2000","top.Trojan.INV11_out",3,2,0.2666,,"","待标注"
116,"AES-T2000","top.Trojan.INV1_out",3,2,0.2397,,"","待标注"
117,"AES-T2000","top.Trojan.INV2_out",3,2,0.2859,,"","待标注"
118,"AES-T2000","top.Trojan.INV3_out",3,2,0.2503,,"","待标注"
119,"AES-T2000","top.Trojan.INV4_out",3,2,0.2467,,"","待标注"
120,"AES-T2000","top.Trojan.INV5_out",3,2,0.2460,,"","待标注"
121,"AES-T2000","top.Trojan.INV6_out",3,2,0.2077,,"","待标注"
122,"AES-T2000","top.Trojan.INV7_out",3,2,0.3154,,"","待标注"
123,"AES-T2000","top.Trojan.INV8_out",3,2,0.2199,,"","待标注"
124,"AES-T2000","top.Trojan.INV9_out",3,2,0.2394,,"","待标注"
125,"AES-T2000","top.Trojan.LEAKBit",5,4,0.6742,,"","待标注"
126,"AES-T2000","top.Trojan.SECRETKey",9,8,0.2283,,"","待标注"
127,"AES-T2100","top.Trigger.Counter",9,8,0.2157,,"","待标注"
128,"AES-T2100","top.Trigger.Tj_Trig",12,11,0.2148,,"","待标注"
129,"AES-T2100","top.Trojan.COUNTER",9,8,0.2254,,"","待标注"
130,"AES-T2100","top.Trojan.INV10_out",3,2,0.3295,,"","待标注"
131,"AES-T2100","top.Trojan.INV11_out",3,2,0.2421,,"","待标注"
132,"AES-T2100","top.Trojan.INV1_out",3,2,0.3263,,"","待标注"
133,"AES-T2100","top.Trojan.INV2_out",3,2,0.2003,,"","待标注"
134,"AES-T2100","top.Trojan.INV3_out",3,2,0.2378,,"","待标注"
135,"AES-T2100","top.Trojan.INV4_out",3,2,0.2477,,"","待标注"
136,"AES-T2100","top.Trojan.INV5_out",3,2,0.2963,,"","待标注"
137,"AES-T2100","top.Trojan.INV6_out",3,2,0.2529,,"","待标注"
138,"AES-T2100","top.Trojan.INV7_out",3,2,0.2078,,"","待标注"
139,"AES-T2100","top.Trojan.INV8_out",3,2,0.2287,,"","待标注"
140,"AES-T2100","top.Trojan.INV9_out",3,2,0.2539,,"","待标注"
141,"AES-T2100","top.Trojan.LEAKBit",5,4,0.5155,,"","待标注"
142,"AES-T2100","top.Trojan.SECRETKey",9,8,0.2291,,"","待标注"
143,"AES-T2300","top.AES.out",11,11,0.3665,,"","待标注"
144,"AES-T2300","top.AES.Trojan.r1",5,4,0.3960,,"","待标注"
145,"AES-T2300","top.AES.Trojan.r2",5,4,0.4792,,"","待标注"
146,"AES-T2300","top.AES.Trojan.trigger",4,3,0.2286,,"","待标注"
147,"AES-T2400","top.AES.out",11,11,0.6122,,"","待标注"
148,"AES-T2400","top.AES.Trojan.r1",5,4,0.6141,,"","待标注"
149,"AES-T2400","top.AES.Trojan.r2",5,4,0.6206,,"","待标注"
150,"AES-T2400","top.AES.Trojan.trigger",4,3,0.3017,,"","待标注"
151,"AES-T2500","top.AES.out",11,11,0.4302,,"","待标注"
152,"AES-T2500","top.AES.Trojan.counter",8,7,0.2328,,"","待标注"
153,"AES-T2500","top.AES.Trojan.trigger",5,4,0.4771,,"","待标注"
154,"AES-T2600","top.AES.out",11,11,0.3483,,"","待标注"
155,"AES-T2600","top.AES.Trojan.counter",15,16,0.3476,,"","待标注"
156,"AES-T2600","top.AES.Trojan.r1",5,4,0.4571,,"","待标注"
157,"AES-T2600","top.AES.Trojan.trigger",5,4,0.4120,,"","待标注"
158,"AES-T2700","top.AES.out",11,11,0.3856,,"","待标注"
