idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
0,"AES-T100","top.Trojan.lfsr.d0",17,19,0.6147,,"","待标注"
1,"AES-T100","top.Trojan.lfsr.lfsr_stream",12,11,0.1402,,"","待标注"
2,"AES-T100","top.Trojan.load",452,577,0.2831,,"","待标注"
3,"AES-T1000","top.Trigger.Tj_Trig",12,11,0.1983,,"","待标注"
4,"AES-T1000","top.Trojan.lfsr.d0",17,19,0.5889,,"","待标注"
5,"AES-T1000","top.Trojan.lfsr.lfsr_stream",19,19,0.2109,,"","待标注"
6,"AES-T1000","top.Trojan.load",452,577,0.3000,,"","待标注"
7,"AES-T1100","top.Trigger.State0",12,11,0.2993,,"","待标注"
8,"AES-T1100","top.Trigger.State1",19,20,0.3263,,"","待标注"
9,"AES-T1100","top.Trigger.State2",26,29,0.3143,,"","待标注"
10,"AES-T1100","top.Trigger.State3",33,38,0.3375,,"","待标注"
11,"AES-T1100","top.Trigger.Tj_Trig",8,7,0.3349,,"","待标注"
12,"AES-T1100","top.Trojan.lfsr.d0",17,19,0.6356,,"","待标注"
13,"AES-T1100","top.Trojan.lfsr.lfsr_stream",17,17,0.3096,,"","待标注"
14,"AES-T1100","top.Trojan.load",452,577,0.2574,,"","待标注"
15,"AES-T1200","top.Trigger.Counter",9,8,0.2509,,"","待标注"
16,"AES-T1200","top.Trigger.Tj_Trig",12,11,0.2331,,"","待标注"
17,"AES-T1200","top.Trojan.lfsr.d0",17,19,0.6179,,"","待标注"
18,"AES-T1200","top.Trojan.lfsr.lfsr_stream",17,17,0.2561,,"","待标注"
19,"AES-T1200","top.Trojan.load",452,577,0.2861,,"","待标注"
20,"AES-T1300","top.Trigger.Tj_Trig",12,11,0.3890,,"","待标注"
21,"AES-T1300","top.Trojan.enable1",68,81,0.5206,,"","待标注"
22,"AES-T1300","top.Trojan.enable2",68,81,0.5309,,"","待标注"
23,"AES-T1300","top.Trojan.enable3",68,81,0.5193,,"","待标注"
24,"AES-T1300","top.Trojan.enable4",68,81,0.5190,,"","待标注"
25,"AES-T1300","top.Trojan.enable5",68,81,0.5460,,"","待标注"
26,"AES-T1300","top.Trojan.enable6",68,81,0.5301,,"","待标注"
27,"AES-T1300","top.Trojan.enable7",68,81,0.5234,,"","待标注"
28,"AES-T1300","top.Trojan.enable8",68,81,0.5408,,"","待标注"
29,"AES-T1300","top.Trojan.SHReg1",18,19,0.3904,,"","待标注"
30,"AES-T1300","top.Trojan.SHReg2",18,19,0.4433,,"","待标注"
31,"AES-T1300","top.Trojan.SHReg3",18,19,0.3758,,"","待标注"
32,"AES-T1300","top.Trojan.SHReg4",18,19,0.3740,,"","待标注"
33,"AES-T1300","top.Trojan.SHReg5",18,19,0.3218,,"","待标注"
34,"AES-T1300","top.Trojan.SHReg6",18,19,0.4041,,"","待标注"
35,"AES-T1300","top.Trojan.SHReg7",18,19,0.3479,,"","待标注"
36,"AES-T1300","top.Trojan.SHReg8",18,19,0.3618,,"","待标注"
37,"AES-T1400","top.Trigger.State0",12,11,0.4851,,"","待标注"
38,"AES-T1400","top.Trigger.State1",19,20,0.5037,,"","待标注"
