batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
NO_AES,walk_length,2,0.9596412556053812,1.0,0.9224137931034483,0.0,321,0,6181,27,108,"    个数: 512513,top1%=(0.986: 6201),区间[-0.359- 1.000],sum=  64032.6,mean= 0.125,方差=0.0489,标准差=0.2211"
NO_AES,walk_length,3,0.9533834586466166,1.0,0.9109195402298851,0.0,317,0,6181,31,108,"    个数: 512513,top1%=(0.986: 6201),区间[-0.412- 1.000],sum=  63278.9,mean= 0.123,方差=0.0502,标准差=0.2240"
NO_AES,walk_length,4,0.9580838323353293,1.0,0.9195402298850575,0.0,320,0,6181,28,108,"    个数: 512513,top1%=(0.986: 6203),区间[-0.407- 1.000],sum=  63714.4,mean= 0.124,方差=0.0500,标准差=0.2236"
NO_AES,walk_length,5,0.9533834586466166,1.0,0.9109195402298851,0.0,317,0,6181,31,108,"    个数: 512513,top1%=(0.986: 6203),区间[-0.356- 1.000],sum=  64982.2,mean= 0.127,方差=0.0506,标准差=0.2250"
NO_AES,walk_length,6,0.9611940298507463,1.0,0.9252873563218391,0.0,322,0,6181,26,108,"    个数: 512513,top1%=(0.986: 6213),区间[-0.423- 1.000],sum=  64915.9,mean= 0.127,方差=0.0511,标准差=0.2260"
NO_AES,walk_length,0,0.9533834586466166,1.0,0.9109195402298851,0.0,317,0,6181,31,108,"    个数: 512513,top1%=(0.986: 6201),区间[-0.392- 1.000],sum=  63205.7,mean= 0.123,方差=0.0495,标准差=0.2224"
NO_AES,vector_size,64,0.9533834586466166,1.0,0.9109195402298851,0.0,317,0,6181,31,108,"    个数: 512513,top1%=(0.985: 6231),区间[-0.494- 1.000],sum=  67543.7,mean= 0.132,方差=0.0570,标准差=0.2388"
NO_AES,vector_size,128,0.9533834586466166,1.0,0.9109195402298851,0.0,317,0,6181,31,108,"    个数: 512513,top1%=(0.986: 6207),区间[-0.440- 1.000],sum=  63090.2,mean= 0.123,方差=0.0499,标准差=0.2235"
NO_AES,vector_size,256,0.9565217391304348,1.0,0.9166666666666666,0.0,319,0,6181,29,108,"    个数: 512513,top1%=(0.987: 6221),区间[-0.322- 1.000],sum=  60030.1,mean= 0.117,方差=0.0466,标准差=0.2159"
NO_AES,vector_size,512,0.9549549549549551,1.0,0.9137931034482759,0.0,318,0,6181,30,108,"    个数: 512513,top1%=(0.988: 6267),区间[-0.241- 1.000],sum=  62281.3,mean= 0.122,方差=0.0442,标准差=0.2101"
NO_AES,window,2,0.9580838323353293,1.0,0.9195402298850575,0.0,320,0,6181,28,108,"    个数: 512513,top1%=(0.986: 6205),区间[-0.409- 1.000],sum=  63395.5,mean= 0.124,方差=0.0500,标准差=0.2236"
NO_AES,window,3,0.9596412556053812,1.0,0.9224137931034483,0.0,321,0,6181,27,108,"    个数: 512513,top1%=(0.986: 6205),区间[-0.365- 1.000],sum=  63095.4,mean= 0.123,方差=0.0499,标准差=0.2234"
NO_AES,window,4,0.9549549549549551,1.0,0.9137931034482759,0.0,318,0,6181,30,108,"    个数: 512513,top1%=(0.986: 6203),区间[-0.406- 1.000],sum=  62757.4,mean= 0.122,方差=0.0496,标准差=0.2228"
NO_AES,window,5,0.9565217391304348,1.0,0.9166666666666666,0.0,319,0,6181,29,108,"    个数: 512513,top1%=(0.986: 6203),区间[-0.398- 1.000],sum=  63701.0,mean= 0.124,方差=0.0501,标准差=0.2239"
NO_AES,sg,CBOW,0.9580838323353293,1.0,0.9195402298850575,0.0,320,0,6181,28,108,"    个数: 512513,top1%=(0.986: 6201),区间[-0.359- 1.000],sum=  63139.5,mean= 0.123,方差=0.0498,标准差=0.2231"
NO_AES,sg,Skip-gram,0.9565217391304348,1.0,0.9166666666666666,0.0,319,0,6181,29,108,"    个数: 512513,top1%=(0.986: 6203),区间[-0.443- 1.000],sum=  62630.1,mean= 0.122,方差=0.0507,标准差=0.2251"
