batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,walk_length,2,0.9718804920913884,1.0,0.9452991452991453,0.0,553,0,36070,32,135,"    个数:33861995,top1%=(0.986:36094),区间[-0.427- 1.000],sum=3765327.3,mean= 0.111,方差=0.0282,标准差=0.1678"
ALL,walk_length,3,0.9718804920913884,1.0,0.9452991452991453,0.0,553,0,36070,32,135,"    个数:33861995,top1%=(0.984:36104),区间[-0.631- 1.000],sum=5671088.3,mean= 0.167,方差=0.0514,标准差=0.2267"
ALL,walk_length,4,0.9772727272727273,1.0,0.9555555555555556,0.0,559,0,36070,26,135,"    个数:33861995,top1%=(0.982:36142),区间[-0.789- 1.000],sum=5786211.0,mean= 0.171,方差=0.0754,标准差=0.2747"
ALL,walk_length,5,0.9772727272727273,1.0,0.9555555555555556,0.0,559,0,36070,26,135,"    个数:33861995,top1%=(0.982:36136),区间[-0.780- 1.000],sum=6227014.9,mean= 0.184,方差=0.0729,标准差=0.2700"
ALL,walk_length,6,0.9745836985100789,1.0,0.9504273504273504,0.0,556,0,36070,29,135,"    个数:33861995,top1%=(0.982:36152),区间[-0.789- 1.000],sum=6002460.7,mean= 0.177,方差=0.0805,标准差=0.2838"
ALL,walk_length,0,0.9745836985100789,1.0,0.9504273504273504,0.0,556,0,36070,29,135,"    个数:33861995,top1%=(0.983:36120),区间[-0.670- 1.000],sum=5139810.6,mean= 0.152,方差=0.0525,标准差=0.2291"
ALL,vector_size,64,0.9718804920913884,1.0,0.9452991452991453,0.0,553,0,36070,32,135,"    个数:33861995,top1%=(0.982:36150),区间[-0.760- 1.000],sum=5894556.7,mean= 0.174,方差=0.0539,标准差=0.2322"
ALL,vector_size,128,0.9736842105263158,1.0,0.9487179487179487,0.0,555,0,36070,30,135,"    个数:33861995,top1%=(0.983:36118),区间[-0.662- 1.000],sum=5623905.4,mean= 0.166,方差=0.0526,标准差=0.2294"
ALL,vector_size,256,0.9736842105263158,1.0,0.9487179487179487,0.0,555,0,36070,30,135,"    个数:33861995,top1%=(0.983:36162),区间[-0.677- 1.000],sum=5943012.8,mean= 0.176,方差=0.0549,标准差=0.2343"
ALL,vector_size,512,0.9745836985100789,1.0,0.9504273504273504,0.0,556,0,36070,29,135,"    个数:33861995,top1%=(0.984:36162),区间[-0.634- 1.000],sum=5388991.3,mean= 0.159,方差=0.0545,标准差=0.2335"
ALL,window,2,0.9781659388646288,1.0,0.9572649572649573,0.0,560,0,36070,25,135,"    个数:33861995,top1%=(0.983:36122),区间[-0.693- 1.000],sum=5918034.9,mean= 0.175,方差=0.0567,标准差=0.2380"
ALL,window,3,0.9718804920913884,1.0,0.9452991452991453,0.0,553,0,36070,32,135,"    个数:33861995,top1%=(0.983:36122),区间[-0.666- 1.000],sum=5672737.0,mean= 0.168,方差=0.0553,标准差=0.2352"
ALL,window,4,0.9736842105263158,1.0,0.9487179487179487,0.0,555,0,36070,30,135,"    个数:33861995,top1%=(0.984:36114),区间[-0.645- 1.000],sum=5240380.8,mean= 0.155,方差=0.0520,标准差=0.2280"
ALL,window,5,0.9772727272727273,1.0,0.9555555555555556,0.0,559,0,36070,26,135,"    个数:33861995,top1%=(0.982:36134),区间[-0.755- 1.000],sum=5877124.7,mean= 0.174,方差=0.0576,标准差=0.2400"
ALL,sg,CBOW,0.9736842105263158,1.0,0.9487179487179487,0.0,555,0,36070,30,135,"    个数:33861995,top1%=(0.983:36116),区间[-0.677- 1.000],sum=5166920.0,mean= 0.153,方差=0.0464,标准差=0.2154"
ALL,sg,Skip-gram,0.9709762532981531,1.0,0.9435897435897436,0.0,552,0,36070,33,135,"    个数:33861995,top1%=(0.983:36130),区间[-0.746- 1.000],sum=5587256.1,mean= 0.165,方差=0.0616,标准差=0.2481"
