batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,threshold,0.85,0.9745836985100789,1.0,0.9504273504273504,0,556,0,0,29,135,
ALL,threshold,0.86,0.9790575916230366,1.0,0.958974358974359,0,561,0,0,24,135,
ALL,threshold,0.87,0.9861351819757365,1.0,0.9726495726495726,0,569,0,0,16,135,
ALL,threshold,0.88,0.990509059534081,1.0,0.9811965811965812,0,574,0,0,11,135,
ALL,threshold,0.89,0.9939810834049871,1.0,0.9880341880341881,0,578,0,0,7,135,
ALL,threshold,0.9,0.9957081545064378,1.0,0.9914529914529915,0,580,0,0,5,135,
ALL,threshold,0.91,0.9982876712328768,1.0,0.9965811965811966,0,583,0,0,2,135,
ALL,threshold,0.92,0.9982876712328768,1.0,0.9965811965811966,0,583,0,0,2,135,
ALL,threshold,0.93,0.9982876712328768,1.0,0.9965811965811966,0,583,0,0,2,135,
ALL,threshold,0.94,0.9991445680068435,1.0,0.9982905982905983,0,584,0,0,1,135,
ALL,threshold,0.95,1.0,1.0,1.0,0,585,0,0,0,135,
ALL,threshold,0.96,1.0,1.0,1.0,0,585,0,0,0,135,
ALL,threshold,0.97,1.0,1.0,1.0,0,585,0,0,0,135,
ALL,threshold,0.98,1.0,1.0,1.0,0,585,0,0,0,135,
ALL,threshold,0.99,1.0,1.0,1.0,0,585,0,0,0,135,
