batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,threshold_ALL,0.5,0.8472906403940887,1.0,0.7350427350427351,0,430,0,0,155,135,
ALL,threshold_ALL,0.51,0.8518155053974485,1.0,0.7418803418803419,0,434,0,0,151,135,
ALL,threshold_ALL,0.52,0.8563049853372434,1.0,0.7487179487179487,0,438,0,0,147,135,
ALL,threshold_ALL,0.53,0.8629737609329445,1.0,0.7589743589743589,0,444,0,0,141,135,
ALL,threshold_ALL,0.54,0.867376573088093,1.0,0.7658119658119659,0,448,0,0,137,135,
ALL,threshold_ALL,0.55,0.8717454194792672,1.0,0.7726495726495727,0,452,0,0,133,135,
ALL,threshold_ALL,0.56,0.8750000000000001,1.0,0.7777777777777778,0,455,0,0,130,135,
ALL,threshold_ALL,0.57,0.8760806916426513,1.0,0.7794871794871795,0,456,0,0,129,135,
ALL,threshold_ALL,0.58,0.8771593090211133,1.0,0.7811965811965812,0,457,0,0,128,135,
ALL,threshold_ALL,0.59,0.8793103448275863,1.0,0.7846153846153846,0,459,0,0,126,135,
ALL,threshold_ALL,0.6,0.8814531548757171,1.0,0.788034188034188,0,461,0,0,124,135,
ALL,threshold_ALL,0.61,0.888888888888889,1.0,0.8,0,468,0,0,117,135,
ALL,threshold_ALL,0.62,0.8993414863593603,1.0,0.8170940170940171,0,478,0,0,107,135,
ALL,threshold_ALL,0.63,0.9055191768007483,1.0,0.8273504273504273,0,484,0,0,101,135,
ALL,threshold_ALL,0.64,0.9065420560747663,1.0,0.8290598290598291,0,485,0,0,100,135,
ALL,threshold_ALL,0.65,0.9095992544268406,1.0,0.8341880341880342,0,488,0,0,97,135,
ALL,threshold_ALL,0.66,0.9116279069767441,1.0,0.8376068376068376,0,490,0,0,95,135,
ALL,threshold_ALL,0.67,0.912639405204461,1.0,0.8393162393162393,0,491,0,0,94,135,
ALL,threshold_ALL,0.68,0.9136490250696379,1.0,0.841025641025641,0,492,0,0,93,135,
ALL,threshold_ALL,0.69,0.9136490250696379,1.0,0.841025641025641,0,492,0,0,93,135,
ALL,threshold_ALL,0.7,0.9136490250696379,1.0,0.841025641025641,0,492,0,0,93,135,
ALL,threshold_ALL,0.71,0.9156626506024096,1.0,0.8444444444444444,0,494,0,0,91,135,
ALL,threshold_ALL,0.72,0.9176688251618871,1.0,0.8478632478632478,0,496,0,0,89,135,
ALL,threshold_ALL,0.73,0.9196675900277007,1.0,0.8512820512820513,0,498,0,0,87,135,
ALL,threshold_ALL,0.74,0.9285714285714286,1.0,0.8666666666666667,0,507,0,0,78,135,
ALL,threshold_ALL,0.75,0.9305301645338209,1.0,0.8700854700854701,0,509,0,0,76,135,
ALL,threshold_ALL,0.76,0.9324817518248175,1.0,0.8735042735042735,0,511,0,0,74,135,
ALL,threshold_ALL,0.77,0.935395814376706,1.0,0.8786324786324786,0,514,0,0,71,135,
ALL,threshold_ALL,0.78,0.9363636363636364,1.0,0.8803418803418803,0,515,0,0,70,135,
ALL,threshold_ALL,0.79,0.9430894308943091,1.0,0.8923076923076924,0,522,0,0,63,135,
ALL,threshold_ALL,0.8,0.9516129032258065,1.0,0.9076923076923077,0,531,0,0,54,135,
