source,circuit_name,similarity,free_total_tokens,in_total_tokens,size_free,size_in,size_change_percent
TjIn,AES-T100,0.8473,175,203,25812,29030,12.47
TjIn,AES-T1000,0.7403,175,231,25812,29607,14.7
TjIn,AES-T1100,0.7008,175,244,25812,30003,16.24
TjIn,AES-T1200,0.7066,175,242,25812,29744,15.23
TjIn,AES-T1300,0.5171,175,321,25812,29981,16.15
TjIn,AES-T1400,0.4926,175,337,25812,30432,17.9
TjIn,AES-T1500,0.4955,175,335,25812,30173,16.9
TjIn,AES-T1600,0.6515,175,264,25812,28147,9.05
TjIn,AES-T1700,0.7125,175,240,25812,27446,6.33
TjIn,AES-T1800,0.8687,175,198,25812,26405,2.3
TjIn,AES-T1900,0.823,175,209,25812,26552,2.87
TjIn,AES-T200,0.8488,175,205,25812,29077,12.65
TjIn,AES-T2000,0.7066,175,242,25812,27731,7.43
TjIn,AES-T2100,0.7215,175,237,25812,27436,6.29
TjIn,AES-T2300,0.914,175,186,25812,26186,1.45
TjIn,AES-T2400,0.914,175,186,25812,26186,1.45
TjIn,AES-T2500,0.8763,175,194,25812,26327,2.0
TjIn,AES-T2600,0.868,175,197,25812,26357,2.11
TjIn,AES-T2700,0.8629,175,197,25812,26420,2.36
TjIn,AES-T2800,0.8607,175,201,25812,26523,2.75
TjIn,AES-T300,0.5493,175,304,25812,29506,14.31
TjIn,AES-T400,0.6992,175,246,25812,27691,7.28
TjIn,AES-T500,0.8037,175,214,25812,26862,4.07
TjIn,AES-T600,0.702,175,245,25812,27690,7.28
TjIn,AES-T700,0.7246,175,236,25812,29696,15.05
TjIn,AES-T800,0.6867,175,249,25812,30095,16.59
TjIn,AES-T900,0.6923,175,247,25812,29836,15.59
TjIn,PIC16F84-T100,0.9706,794,815,51012,52124,2.18
TjIn,PIC16F84-T200,0.9623,794,822,51012,52428,2.78
TjIn,PIC16F84-T300,0.96,794,824,51012,52507,2.93
TjIn,PIC16F84-T400,0.96,794,824,51012,52522,2.96
TjIn,RS232-T100,0.9506,232,243,7588,8243,8.63
TjIn,RS232-T200,0.8814,232,253,7588,8112,6.91
TjIn,RS232-T2100,0.8735,232,253,7588,8152,7.43
TjIn,RS232-T2200,0.8845,232,251,7588,8081,6.5
TjIn,RS232-T2300,0.9004,232,251,7588,8125,7.08
TjIn,RS232-T2400,0.8467,232,261,7588,8385,10.5
TjIn,RS232-T300,0.9325,232,237,7588,7475,-1.49
TjIn,RS232-T400,0.8264,232,265,7588,7888,3.95
TjIn,RS232-T500,0.8438,232,256,7588,8025,5.76
TjIn,RS232-T600,0.7668,232,283,7588,9137,20.41
TjIn,RS232-T700,0.7614,232,285,7588,9339,23.08
TjIn,RS232-T800,0.9143,232,245,7588,8166,7.62
TjIn,RS232-T900,0.9286,232,238,7588,7619,0.41
TjIn,RS232-T901,0.732,232,291,7588,9546,25.8
TjIn2,adder-T100,0.982,274,278,12757,13017,2.04
TjIn2,adder-T600,1.0,274,274,12757,12861,0.82
TjIn2,adder-T601,1.0,274,274,12757,12842,0.67
TjIn2,adder-T800,1.0,274,274,12757,12868,0.87
